codigoUf,codigo,nome
52,5200050,Abadia de Goiás
31,3100104,Abadia dos Dourados
52,5200100,Abadiânia
31,3100203,Abaeté
15,1500107,Abaetetuba
23,2300101,Abaiara
29,2900108,Abaíra
29,2900207,Abaré
41,4100103,Abatiá
42,4200051,Abdon Batista
15,1500131,Abel Figueiredo
42,4200101,Abelardo Luz
31,3100302,Abre Campo
26,2600054,Abreu e Lima
17,1700251,Abreulândia
31,3100401,Acaiaca
21,2100055,Açailândia
29,2900306,Acajutiba
15,1500206,Acará
23,2300150,Acarape
23,2300200,Acaraú
24,2400109,Acari
22,2200053,Acauã
43,4300034,Aceguá
23,2300309,Acopiara
51,5100102,Acorizal
12,1200013,Acrelândia
52,5200134,Acreúna
24,2400208,Açu
31,3100500,Açucena
35,3500105,Adamantina
52,5200159,Adelândia
35,3500204,Adolfo
41,4100202,Adrianópolis
29,2900355,Adustina
26,2600104,Afogados da Ingazeira
24,2400307,Afonso Bezerra
32,3200102,Afonso Cláudio
21,2100105,Afonso Cunha
26,2600203,Afrânio
15,1500305,Afuá
26,2600302,Agrestina
22,2200103,Agricolândia
42,4200200,Agrolândia
42,4200309,Agronômica
15,1500347,Água Azul do Norte
31,3100609,Água Boa
51,5100201,Água Boa
27,2700102,Água Branca
25,2500106,Água Branca
22,2200202,Água Branca
50,5000203,Água Clara
31,3100708,Água Comprida
42,4200408,Água Doce
21,2100154,Água Doce do Maranhão
32,3200169,Água Doce do Norte
29,2900405,Água Fria
52,5200175,Água Fria de Goiás
52,5200209,Água Limpa
24,2400406,Água Nova
26,2600401,Água Preta
43,4300059,Água Santa
35,3500303,Aguaí
31,3100807,Aguanil
26,2600500,Águas Belas
35,3500402,Águas da Prata
42,4200507,Águas de Chapecó
35,3500501,Águas de Lindóia
35,3500550,Águas de Santa Bárbara
35,3500600,Águas de São Pedro
31,3100906,Águas Formosas
42,4200556,Águas Frias
52,5200258,Águas Lindas de Goiás
42,4200606,Águas Mornas
31,3101003,Águas Vermelhas
43,4300109,Agudo
